sep=|
DIPUTACIONES
13/06/2021 09:47 (UTC-5)
ACTAS_ESPERADAS|ACTAS_COMPUTADAS|PORCENTAJE_ACTAS_COMPUTADAS|TOTAL_VOTOS
300|300|100.0000|49,107,009

TIPO_CANDIDATURA|ID_ESTADO|NOMBRE_ESTADO|ID_DISTRITO|NOMBRE_DISTRITO|PAN|PRI|PRD|PVEM|PT|MC|MORENA|PES|RSP|FXM|CANDIDATO/A NO REGISTRADO/A|VOTOS NULOS|TOTAL_VOTOS_CALCULADOS|FECHA_HORA
RP|14|JALISCO|1|TEQUILA|33991|33248|2064|5313|5561|47463|31982|3242|1089|2474|-|-|170649|13/06/2021 08:06:12
RP|14|JALISCO|2|LAGOS DE MORENO|41586|14180|684|7986|887|49948|19621|3404|1896|1900|-|-|145701|13/06/2021 08:06:51
RP|14|JALISCO|3|TEPATITLAN DE MORELOS|57140|29781|1219|5786|1367|40436|18916|4453|601|6794|-|-|171746|13/06/2021 08:06:36
RP|14|JALISCO|4|ZAPOPAN|18428|16149|982|2932|1397|45656|34209|3249|1134|2863|-|-|130374|13/06/2021 08:06:27
RP|14|JALISCO|5|PUERTO VALLARTA|8673|10832|1441|20759|1432|40968|49730|2988|1663|1452|-|-|143531|13/06/2021 08:06:15
RP|14|JALISCO|6|ZAPOPAN|26253|16830|1068|3078|1387|63036|34300|3152|1018|3011|-|-|156684|13/06/2021 08:06:59
RP|14|JALISCO|7|TONALA|10404|21554|881|3954|2748|22195|31354|3234|1209|2796|-|-|103378|13/06/2021 08:06:44
RP|14|JALISCO|8|GUADALAJARA|36305|24414|1635|2804|1238|72639|35035|2652|968|4133|-|-|186114|13/06/2021 08:06:23
RP|14|JALISCO|9|GUADALAJARA|14358|15059|1190|3243|1572|40058|40731|3041|1053|3353|-|-|127722|13/06/2021 08:06:17
RP|14|JALISCO|10|ZAPOPAN|39234|15401|1195|2053|833|70358|23784|1891|874|2024|-|-|160690|13/06/2021 08:06:58
RP|14|JALISCO|11|GUADALAJARA|17883|17898|1143|3553|1698|45841|42844|5351|1214|4068|-|-|145558|13/06/2021 08:06:40
RP|14|JALISCO|12|SANTA CRUZ DE LAS FLORES|21147|10672|1853|2971|3259|52851|40353|4471|1370|2204|-|-|144418|13/06/2021 08:06:24
RP|14|JALISCO|13|TLAQUEPAQUE|26709|14909|1066|2749|1211|47544|31324|2835|1336|2537|-|-|135250|13/06/2021 08:06:01
RP|14|JALISCO|14|GUADALAJARA|23469|19020|1516|3775|1470|51669|40720|3465|1145|3775|-|-|154325|13/06/2021 08:06:44
RP|14|JALISCO|15|LA BARCA|22692|28740|1117|4256|3763|44958|36117|5563|6793|4233|-|-|162383|13/06/2021 08:06:44
RP|14|JALISCO|16|TLAQUEPAQUE|16208|18096|1913|2781|2545|31041|39165|4799|1894|2362|-|-|124070|13/06/2021 08:06:23
RP|14|JALISCO|17|JOCOTEPEC|19956|22185|928|15887|2781|45730|34742|5622|807|6657|-|-|159302|13/06/2021 09:06:03
RP|14|JALISCO|18|AUTLAN DE NAVARRO|19396|42439|2247|4346|1540|48405|38945|2604|714|3433|-|-|169246|13/06/2021 09:06:43
RP|14|JALISCO|19|CIUDAD GUZMAN|18818|22614|5004|6610|8113|52788|41479|3207|1520|7290|-|-|172591|13/06/2021 09:06:26
RP|14|JALISCO|20|TONALA|14904|26375|1057|3102|3441|36422|32650|3701|1288|2850|-|-|129233|13/06/2021 09:06:13
RP|15|MÉXICO|1|JILOTEPEC DE ANDRES MOLINA ENRIQUEZ|21700|75519|2220|33406|3194|7198|56218|4980|5441|5729|-|-|221235|13/06/2021 08:06:25
RP|15|MÉXICO|2|SANTA MARIA TULTEPEC|11173|24012|12808|4651|3228|7701|62766|3780|3989|3618|-|-|141482|13/06/2021 08:06:16
RP|15|MÉXICO|3|ATLACOMULCO DE FABELA|9436|75286|1849|8752|5190|16369|65137|8067|2940|8415|-|-|206907|13/06/2021 08:06:06
RP|15|MÉXICO|4|NICOLAS ROMERO|27113|45592|2423|4922|2296|6277|58272|3704|4776|3802|-|-|163455|13/06/2021 08:06:59
RP|15|MÉXICO|5|TEOTIHUACAN DE ARISTA|33982|56226|2566|6372|4734|3530|57276|3583|4727|4211|-|-|181636|13/06/2021 08:06:52
RP|15|MÉXICO|6|COACALCO DE BERRIOZABAL|17594|34275|7827|8464|2090|7067|57975|3308|6059|4216|-|-|152633|13/06/2021 08:06:49
RP|15|MÉXICO|7|CUAUTITLAN IZCALLI|47585|30519|2827|9033|2783|6643|64265|2358|2064|2751|-|-|175160|13/06/2021 08:06:45
RP|15|MÉXICO|8|TULTITLAN DE MARIANO ESCOBEDO|15993|33057|2766|6327|2170|3542|54810|1990|994|3656|-|-|129403|13/06/2021 08:06:38
RP|15|MÉXICO|9|SAN FELIPE DEL PROGRESO|8463|77432|11258|12617|2814|14915|43688|3868|1751|1328|-|-|184717|13/06/2021 08:06:28
RP|15|MÉXICO|10|ECATEPEC DE MORELOS|10568|31548|8398|3037|1635|3102|56439|1789|1106|2668|-|-|124488|13/06/2021 08:06:19
RP|15|MÉXICO|11|ECATEPEC DE MORELOS|11296|38560|6291|4494|1898|3472|57216|1844|1570|2786|-|-|134049|13/06/2021 08:06:11
RP|15|MÉXICO|12|IXTAPALUCA|6624|45281|2010|3993|1968|4285|56005|1774|1168|5875|-|-|132870|13/06/2021 08:06:59
RP|15|MÉXICO|13|ECATEPEC DE MORELOS|13127|36401|5502|3998|1795|3776|59877|1877|946|2367|-|-|134450|13/06/2021 08:06:50
RP|15|MÉXICO|14|CIUDAD ADOLFO LOPEZ MATEOS|52925|30722|2792|5776|2447|5492|55592|2225|1341|3116|-|-|166211|13/06/2021 08:06:48
RP|15|MÉXICO|15|CIUDAD ADOLFO LOPEZ MATEOS|59649|24292|2588|5661|2509|4850|52209|2357|1552|3995|-|-|163414|13/06/2021 08:06:40
RP|15|MÉXICO|16|ECATEPEC DE MORELOS|12809|37634|3659|3006|3569|3167|60551|2249|921|2206|-|-|134187|13/06/2021 08:06:30
RP|15|MÉXICO|17|ECATEPEC DE MORELOS|11337|35272|3984|3294|2757|3468|54189|1992|1108|2172|-|-|123888|13/06/2021 08:06:22
RP|15|MÉXICO|18|HUIXQUILUCAN DE DEGOLLADO|76587|47566|7214|4646|2900|6036|49466|2819|1251|4593|-|-|208419|13/06/2021 08:06:17
RP|15|MÉXICO|19|TLALNEPANTLA DE BAZ|45363|41653|2667|4615|2173|5094|63486|1912|1208|3518|-|-|176424|13/06/2021 08:06:06
RP|15|MÉXICO|20|CD. NEZAHUALCOYOTL|14444|24477|8263|2952|1846|28967|60062|1694|832|1759|-|-|149630|13/06/2021 08:06:58
RP|15|MÉXICO|21|AMECAMECA DE JUAREZ|8480|42822|6957|13288|1982|11075|57669|5397|3879|6543|-|-|163302|13/06/2021 08:06:47
RP|15|MÉXICO|22|NAUCALPAN DE JUAREZ|76344|35249|2483|3860|3782|7664|50568|3056|2368|2858|-|-|194732|13/06/2021 08:06:35
RP|15|MÉXICO|23|LERMA DE VILLADA|16546|62636|4778|16501|5676|3029|63760|6304|3032|5182|-|-|193378|13/06/2021 08:06:27
RP|15|MÉXICO|24|NAUCALPAN DE JUAREZ|32269|32214|2442|4036|3002|8582|58845|5252|1505|2963|-|-|155750|13/06/2021 08:06:14
RP|15|MÉXICO|25|CHIMALHUACAN|3212|44873|1632|2170|1988|2028|57495|1430|714|1574|-|-|120737|13/06/2021 08:06:03
RP|15|MÉXICO|26|TOLUCA DE LERDO|22013|55176|2544|6368|2771|4537|65864|5195|2264|3554|-|-|174997|13/06/2021 08:06:51
RP|15|MÉXICO|27|METEPEC|39229|64131|3268|6415|10480|12855|54475|5107|4404|6593|-|-|211606|13/06/2021 08:06:39
RP|15|MÉXICO|28|ZUMPANGO DE OCAMPO|33114|32292|11226|12665|2880|3723|58748|2091|2122|12268|-|-|176811|13/06/2021 08:06:30
RP|15|MÉXICO|29|CD. NEZAHUALCOYOTL|9391|27005|9882|2684|2395|30974|64134|2471|1013|3356|-|-|158186|13/06/2021 08:06:20
RP|15|MÉXICO|30|CHIMALHUACAN|4178|52278|2925|3448|2091|1955|54423|2745|1021|3623|-|-|132346|13/06/2021 08:06:08
RP|15|MÉXICO|31|CD. NEZAHUALCOYOTL|6956|22805|7910|2869|2348|31868|63124|2257|903|2187|-|-|147942|13/06/2021 08:06:02
RP|15|MÉXICO|32|VALLE DE CHALCO SOLIDARIDAD|4044|15329|24655|11063|3019|4504|60635|2118|2013|2831|-|-|135077|13/06/2021 08:06:49
RP|15|MÉXICO|33|CHALCO DE DIAZ COVARRUBIAS|7268|34331|4652|7452|2925|6588|58650|2449|2216|2650|-|-|133895|13/06/2021 08:06:45
RP|15|MÉXICO|34|TOLUCA DE LERDO|34269|59775|3293|6330|3210|5300|64769|4020|2652|4389|-|-|192754|13/06/2021 08:06:35
RP|15|MÉXICO|35|TENANCINGO DE DEGOLLADO|7909|50298|7941|18500|9823|13261|48099|6979|3385|5756|-|-|177526|13/06/2021 08:06:27
RP|15|MÉXICO|36|TEJUPILCO DE HIDALGO|9774|71322|16181|13659|3261|4114|67698|4276|2880|4371|-|-|204228|13/06/2021 08:06:20
RP|15|MÉXICO|37|CUAUTITLAN|21228|30317|2814|11267|2683|14279|63953|5721|5554|4933|-|-|169427|13/06/2021 08:06:11
RP|15|MÉXICO|38|TEXCOCO DE MORA|13929|36607|5005|20549|1797|3606|64680|3675|1965|3990|-|-|160599|13/06/2021 08:06:00
RP|15|MÉXICO|39|LOS REYES ACAQUILPAN|4986|52036|3162|4348|2982|3158|45613|2453|1445|7040|-|-|131209|13/06/2021 08:06:54
RP|15|MÉXICO|40|SAN MIGUEL ZINACANTEPEC|16450|54960|4009|22687|5845|6811|54082|6197|2246|4140|-|-|184040|13/06/2021 08:06:43
RP|15|MÉXICO|41|OJO DE AGUA|34758|57137|1995|8112|2858|4869|76594|2400|1168|3006|-|-|197318|13/06/2021 08:06:35
RP|16|MICHOACÁN|1|LAZARO CARDENAS|6707|15857|15556|5073|11248|2096|74453|1489|2104|2337|-|-|143439|13/06/2021 08:06:31
